Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,postalcode,lat,long
POSSIBLE ASSAULT,GO 202155171,800 BLK UNION AV,Bakersfield Police,3/24/2021 7:06,3/24/2021,March,Wednesday, 7:06,AM,850 UNION AV,Bakersfield,CA,93301,35.36505,-119.002945
DRUG-AMPHETAMINE-POSSESSION,GO 202168598,800 BLK CHESTER AV,Bakersfield Police,4/12/2021 8:37,4/12/2021,April,Monday, 8:37,AM,850 CHESTER AV,Bakersfield,CA,93301,35.365097,-119.01885
POSSIBLE ASSAULT,GO 202167365,800 BLK CHESTER AV,Bakersfield Police,4/10/2021 12:59,4/10/2021,April,Saturday,12:59,PM,850 CHESTER AV,Bakersfield,CA,93301,35.365097,-119.01885
BURGLARY-FORCED-BUSINESS,GO 202153751,800 BLK CHESTER AV,Bakersfield Police,3/22/2021 6:54,3/22/2021,March,Monday, 6:54,AM,850 CHESTER AV,Bakersfield,CA,93301,35.365097,-119.01885
AUTO THEFT,GO 202157586,800 BLK WALLACE ST,Bakersfield Police,3/27/2021 14:12,3/27/2021,March,Saturday,14:12,PM,850 WALLACE ST,Bakersfield,CA,93301,35.365208,-119.00174
BURGLARY-FORCED-BUSINESS,GO 202158760,1000 BLK CHESTER AV,Bakersfield Police,3/29/2021 3:00,3/29/2021,March,Monday, 3:00,AM,1050 CHESTER AV,Bakersfield,CA,93301,35.366993,-119.01885
AUTO THEFT,GO 202161395,1100 BLK PERSHING ST,Bakersfield Police,4/1/2021 7:00,4/1/2021,April,Thursday, 7:00,AM,1150 PERSHING ST,Bakersfield,CA,93301,35.367893,-119.00422
AGG ASSAULT-WEAPON,GO 202157545,1100 BLK CHESTER AV,Bakersfield Police,3/27/2021 12:59,3/27/2021,March,Saturday,12:59,PM,1150 CHESTER AV,Bakersfield,CA,93301,35.367985,-119.01883
FRAUD,GO 2021802433,1100 BLK OLEANDER AV,Bakersfield Police,4/7/2021 10:31,4/7/2021,April,Wednesday,10:31,AM,1150 OLEANDER AV,Bakersfield,CA,93301,35.368084,-119.02541
THEFT-CATALYTIC CONVERTER,GO 202157581,600 BLK E CALIFORNIA AV,Bakersfield Police,3/27/2021 9:45,3/27/2021,March,Saturday, 9:45,AM,650 E CALIFORNIA AV,Bakersfield,CA,93301,35.368454,-119.00892
AUTO THEFT,GO 202170281,1300 BLK CHESTER AV,Bakersfield Police,4/14/2021 12:58,4/14/2021,April,Wednesday,12:58,PM,1350 CHESTER AV,Bakersfield,CA,93301,35.36997,-119.01882
DRUG-AMPHETAMINE-POSSESSION,GO 202160814,1300 BLK CHESTER AV,Bakersfield Police,4/1/2021 2:19,4/1/2021,April,Thursday, 2:19,AM,1350 CHESTER AV,Bakersfield,CA,93301,35.36997,-119.01882
WEAPON-FIRING,GO 202160814,1300 BLK CHESTER AV,Bakersfield Police,4/1/2021 2:19,4/1/2021,April,Thursday, 2:19,AM,1350 CHESTER AV,Bakersfield,CA,93301,35.36997,-119.01882
DRUG-PARAPHERNALIA POSSESSION,GO 202160814,1300 BLK CHESTER AV,Bakersfield Police,4/1/2021 2:19,4/1/2021,April,Thursday, 2:19,AM,1350 CHESTER AV,Bakersfield,CA,93301,35.36997,-119.01882
VANDALISM-PRIVATE PROPERTY,GO 202164872,1300 BLK EYE ST,Bakersfield Police,4/6/2021 22:04,4/6/2021,April,Tuesday,22:04,PM,1350 EYE ST,Bakersfield,CA,93301,35.36997,-119.02004
ROBBERY-CARJACKING-ARMED,GO 202165682,400 BLK CHICO ST,Bakersfield Police,4/8/2021 3:30,4/8/2021,April,Thursday, 3:30,AM,450 CHICO ST,Bakersfield,CA,93301,35.371506,-118.998985
WEAPON-POSSESS MISD,GO 202158484,1400 BLK H ST,Bakersfield Police,3/28/2021 19:40,3/28/2021,March,Sunday,19:40,PM,1450 H ST,Bakersfield,CA,93301,35.371693,-119.0212
THEFT-CATALYTIC CONVERTER,GO 202167545,600 BLK EUREKA ST,Bakersfield Police,4/10/2021 11:10,4/10/2021,April,Saturday,11:10,AM,650 EUREKA ST,Bakersfield,CA,93301,35.37287,-118.99514
VANDALISM-PRIVATE PROPERTY,GO 202167199,600 BLK TRUXTUN AV,Bakersfield Police,4/10/2021 4:30,4/10/2021,April,Saturday, 4:30,AM,650 TRUXTUN AV,Bakersfield,CA,93301,35.373306,-119.00877
AUTO THEFT,GO 202156715,600 BLK TRUXTUN AV,Bakersfield Police,3/25/2021 21:00,3/25/2021,March,Thursday,21:00,PM,650 TRUXTUN AV,Bakersfield,CA,93301,35.373306,-119.00877
THEFT-CATALYTIC CONVERTER,GO 202170394,800 BLK TRUXTUN AV,Bakersfield Police,4/14/2021 0:00,4/14/2021,April,Wednesday, 0:00,AM,850 TRUXTUN AV,Bakersfield,CA,93301,35.373318,-119.01119
BURG-VEH (THEFT OF NON-PARTS),GO 2021802214,800 BLK TRUXTUN AV,Bakersfield Police,3/26/2021 20:40,3/26/2021,March,Friday,20:40,PM,850 TRUXTUN AV,Bakersfield,CA,93301,35.373318,-119.01119
