type,blurred_street,date,time_24hr_clock,incident_date,incident_month,incident_day_of_week,incident_time,time_ampm,case_no,agency,description,blurred_address,city,state,postalcode,lat,long
Breaking & Entering,1800 BLOCK CLARKE AVE,4/9/2021,22:00,4/9/2021,April,Friday,10:00 PM,PM,E121000953,East Palo Alto PD,BURGLARY-SECOND DEGREE/VEH,1850 CLARKE AVE,East Palo Alto,CA,94303,37.45514,-122.13443
Property Crime,1900 BLOCK COOLEY AVE,4/10/2021,6:00,4/10/2021,April,Saturday,6:00 AM,AM,E121000943,East Palo Alto PD,TAMPER W/VEH-PROP STOLEN,1950 COOLEY AVE,East Palo Alto,CA,94303,37.456333,-122.13901
Proactive Policing,MANHATTAN AVE & OCONNOR ST,4/12/2021,,4/12/2021,April,Monday,,,2.02E+11,Menlo Park Police Department,TSTOP,MANHATTAN AVE & OCONNOR ST,East Palo Alto,CA,94303,37.46043,-122.143326
Proactive Policing,EUCLID AVE & OCONNOR ST,4/10/2021,22:00,4/10/2021,April,Saturday,10:00 PM,PM,20210410084,Menlo Park Police Department,TSTOP,EUCLID AVE & OCONNOR ST,East Palo Alto,CA,94303,37.460472,-122.14461
Property Crime,800 BLOCK DONOHOE ST,3/30/2021,0:00,3/30/2021,March,Tuesday,12:00 AM,AM,E121000856,East Palo Alto PD,TAMPER W/VEH-PROP STOLEN,850 DONOHOE ST,East Palo Alto,CA,94303,37.46248,-122.13545
Robbery,2100 BLOCK UNIVERSITY AVE,4/18/2021,3:00,4/18/2021,April,Sunday,3:00 AM,AM,E121001006,East Palo Alto PD,ROBBERY-ALL OTHERS,2150 UNIVERSITY AVE,East Palo Alto,CA,94303,37.464348,-122.141655
Quality of Life,2100 BLOCK UNIVERSITY AVE,3/26/2021,2:00,3/26/2021,March,Friday,2:00 AM,AM,E121000796,East Palo Alto PD,THRTN CRIME:INT:TERRORIZE,2150 UNIVERSITY AVE,East Palo Alto,CA,94303,37.464348,-122.141655
Breaking & Entering,2100 BLOCK UNIVERSITY AVE,3/24/2021,23:00,3/24/2021,March,Wednesday,11:00 PM,PM,E121000781,East Palo Alto PD,BURGLARY-SECOND DEGREE/VEH,2150 UNIVERSITY AVE,East Palo Alto,CA,94303,37.464348,-122.141655
Theft,2100 BLOCK UNIVERSITY AVE,3/19/2021,23:00,3/19/2021,March,Friday,11:00 PM,PM,E121000733,East Palo Alto PD,PETTY THEFT,2150 UNIVERSITY AVE,East Palo Alto,CA,94303,37.464348,-122.141655
Quality of Life,2200 BLOCK COOLEY AVE,4/8/2021,23:00,4/8/2021,April,Thursday,11:00 PM,PM,E121000964,East Palo Alto PD,THRTN CRIME:INT:TERRORIZE,2250 COOLEY AVE,East Palo Alto,CA,94303,37.467113,-122.13936
