type,blurred_street,date,time_24hr_clock,incident_date,incident_month,incident_day_of_week,incident_time,time_ampm,case_no,agency,description,blurred_address,city,state,postalcode,lat,long
Theft,48900 BLOCK TULARE DR,3/20/2021,1:00,3/20/2021,March,Saturday,1:00 AM,AM,210323409,FREMONT POLICE DEPARTMENT,PETTY THEFT [484A],48950 TULARE DR,Fremont,CA,94536,37.466213,-121.902855
Breaking & Entering,47600 BLOCK FORTNER ST,3/18/2021,15:00,3/18/2021,March,Thursday,3:00 PM,PM,210319018,FREMONT POLICE DEPARTMENT,BURGLARY RESIDENTIAL [459R],47650 FORTNER ST,Fremont,CA,94536,37.479477,-121.9216
Theft from Vehicle,47000 BLOCK LAKEVIEW BLVD,3/19/2021,18:00,3/19/2021,March,Friday,6:00 PM,PM,210320011,FREMONT POLICE DEPARTMENT,BURGLARY OF AUTO [459A],47050 LAKEVIEW BLVD,Fremont,CA,94536,37.480057,-121.937454
Theft,200 BLOCK FOURIER AVE,3/21/2021,18:00,3/21/2021,March,Sunday,6:00 PM,PM,210323403,FREMONT POLICE DEPARTMENT,GRAND THEFT [487],250 FOURIER AVE,Fremont,CA,94536,37.48065,-121.9259
Proactive Policing,46200 BLOCK LANDING PW,3/20/2021,16:00,3/20/2021,March,Saturday,4:00 PM,PM,210320024,FREMONT POLICE DEPARTMENT,WARRANT SERVICE [WS],46250 LANDING PW,Fremont,CA,94536,37.488235,-121.94328
Quality of Life,46600 BLOCK PASEO PADRE PKWY,3/18/2021,23:00,3/18/2021,March,Thursday,11:00 PM,PM,210323407,FREMONT POLICE DEPARTMENT,VANDALISM [594A],46650 PASEO PADRE PKWY,Fremont,CA,94536,37.496197,-121.91352
Theft,44800 BLOCK INDUSTRIAL DR,3/18/2021,22:00,3/18/2021,March,Thursday,10:00 PM,PM,210319010,FREMONT POLICE DEPARTMENT,GRAND THEFT [487],44850 INDUSTRIAL DR,Fremont,CA,94536,37.50123,-121.95162
Theft,44800 BLOCK PARKMEADOW DR,3/21/2021,12:00,3/21/2021,March,Sunday,12:00 PM,PM,210329406,FREMONT POLICE DEPARTMENT,GRAND THEFT [487],44850 PARKMEADOW DR,Fremont,CA,94536,37.50841,-121.93383
Quality of Life,42700 BLOCK CHRISTY ST,3/19/2021,9:00,3/19/2021,March,Friday,9:00 AM,AM,210401408,FREMONT POLICE DEPARTMENT,VANDALISM [594A],42750 CHRISTY ST,Fremont,CA,94536,37.508957,-121.976105
Theft,1400 BLOCK TOLTECA DR,3/19/2021,12:00,3/19/2021,March,Friday,12:00 PM,PM,210322415,FREMONT POLICE DEPARTMENT,GRAND THEFT [487],1450 TOLTECA DR,Fremont,CA,94536,37.51011,-121.92683
