ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
210000762,"03/17/2021, 3:00:00 pm","04/01/2021, 1:52:56 am",PALO ALTO,CA,94301,EMERSON ST & UNIVERSITY AV,RMS: MUNI CODE/MISC,Proactive Policing,MUNI CODE/MISC</br><b>Disposition: </b> ARREST/CITE-ADULT-FSDReport Date: 2021-03-17 08:00:00
210000907,"03/30/2021, 1:30:00 am","04/01/2021, 1:53:32 am",PALO ALTO,CA,94301,BRYANT ST & COLERIDGE AV,RMS: CASUALTY/FALL,Emergency,CASUALTY/FALL</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-29 19:00:00
210000908,"03/30/2021, 2:12:00 am","04/01/2021, 1:53:32 am",PALO ALTO,CA,94301,200 Block ALMA ST,RMS: N&D/POSSESSION,Quality of Life,N&D/POSSESSION</br><b>Disposition: </b> ARREST/CITE-ADULT-FSDReport Date: 2021-03-29 19:12:00
210000910,"03/30/2021, 4:10:00 am","04/01/2021, 1:53:33 am",PALO ALTO,CA,94306,100 Block LOMA VERDE AV,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-29 21:10:00
210000914,"03/30/2021, 10:45:00 am","04/01/2021, 1:53:34 am",PALO ALTO,CA,94303,3500 Block LOUIS RD,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-30 03:52:00
210000915,"03/30/2021, 2:15:00 pm","04/01/2021, 1:53:35 am",PALO ALTO,CA,94301,400 Block WAVERLEY ST,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-30 07:15:00
210000916,"03/26/2021, 3:35:00 pm","04/01/2021, 1:53:36 am",PALO ALTO,CA,94306,600 Block SAN ANTONIO RD,RMS: IDENTITY THEFT/CREDIT CARDS,Proactive Policing,IDENTITY THEFT/CREDIT CARDS</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-30 12:10:00
210000919,"03/31/2021, 12:00:00 am","04/01/2021, 1:53:48 am",PALO ALTO,CA,94306,ALMA ST & KINGSLEY AV,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-30 18:40:00
210000877,"03/28/2021, 12:30:00 am","03/31/2021, 12:57:19 am",PALO ALTO,CA,94306,4200 Block EL CAMINO REAL,RMS: ACCIDENT MINOR INJURY,Traffic,ACCIDENT MINOR INJURY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 17:30:00
210000879,"03/28/2021, 3:45:00 am","03/31/2021, 12:57:20 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: DOMESTIC VIOLENCE/BATTERY,Other,DOMESTIC VIOLENCE/BATTERY</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-27 20:47:00
210000881,"03/28/2021, 4:40:00 am","03/31/2021, 12:57:20 am",PALO ALTO,CA,94303,1000 Block MOFFETT CIR,RMS: THEFT GRAND/FROM AUTO,Theft from Vehicle,THEFT GRAND/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 22:20:00
210000894,"03/29/2021, 5:48:00 am","03/31/2021, 12:57:22 am",PALO ALTO,CA,94301,LYTTON AV & COWPER ST,RMS: TRAFFIC/SUSPENDED LICENSE,Traffic,TRAFFIC/SUSPENDED LICENSE</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-28 22:48:00
210000896,"03/29/2021, 6:35:00 am","03/31/2021, 12:57:22 am",PALO ALTO,CA,94303,800 Block SOUTHAMPTON DR,RMS: DOMESTIC VIOLENCE/ASSAULT,Other,DOMESTIC VIOLENCE/ASSAULT</br><b>Disposition: </b> ARREST/CITE-ADULT-FSDReport Date: 2021-03-28 23:35:00
210000898,"02/01/2021, 3:00:00 pm","03/31/2021, 12:57:23 am",PALO ALTO,CA,94301,500 Block EVERETT AV,RMS: IDENTITY THEFT/FRAUD,Proactive Policing,IDENTITY THEFT/FRAUD</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-29 08:02:00
210000902,"03/29/2021, 8:30:00 pm","03/31/2021, 12:57:23 am",PALO ALTO,CA,94301,700 Block EL CAMINO REAL,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-29 13:30:00
210000911,"03/30/2021, 5:16:00 am","03/31/2021, 12:57:23 am",PALO ALTO,CA,94306,NITA AV & SAN ANTONIO AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b> ARREST/CITE-ADULT-FSDReport Date: 2021-03-29 22:16:00
210000792,"03/19/2021, 5:13:00 pm","03/31/2021, 12:57:10 am",PALO ALTO,CA,94301,900 Block WEBSTER ST,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-19 12:25:00
210000872,"03/27/2021, 7:34:00 am","03/31/2021, 12:57:18 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-27 00:34:00
210000880,"03/28/2021, 3:45:00 am","03/31/2021, 12:57:20 am",PALO ALTO,CA,94303,2700 Block GREER RD,RMS: THEFT PETTY/FROM AUTO,Theft from Vehicle,THEFT PETTY/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 21:40:00
210000886,"03/28/2021, 3:48:00 pm","03/31/2021, 12:57:20 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: ASSAULT WITH DEADLY WEAPON,Assault,ASSAULT WITH DEADLY WEAPON</br><b>Disposition: </b>INACTIVEReport Date: 2021-03-28 08:50:00
210000897,"03/29/2021, 11:58:00 am","03/31/2021, 12:57:22 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: VANDALISM/FELONY,Property Crime,VANDALISM/FELONY</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-29 05:00:00
210000901,"03/29/2021, 7:00:00 pm","03/31/2021, 12:57:23 am",PALO ALTO,CA,94301,1 Block ENCINA AV,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-29 12:00:00
210000904,"03/29/2021, 9:29:00 pm","03/31/2021, 12:57:23 am",PALO ALTO,CA,94301,500 Block UNIVERSITY AV,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-29 14:29:00
210000913,"03/30/2021, 8:23:00 am","03/31/2021, 12:57:24 am",PALO ALTO,CA,94303,1000 Block EMBARCADERO RD,RMS: ACCIDENT MINOR INJURY,Traffic,ACCIDENT MINOR INJURY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-30 01:23:00
210000895,"03/29/2021, 5:52:00 am","03/30/2021, 1:05:27 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-28 22:52:00
210000882,"03/28/2021, 3:45:00 am","03/30/2021, 1:06:14 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: BATTERY/PEACE OFFICER,Assault,BATTERY/PEACE OFFICER</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-27 20:47:00
210000883,"03/28/2021, 8:47:00 am","03/30/2021, 1:06:15 am",PALO ALTO,CA,94303,2300 Block LOUIS RD,RMS: DUI ADULT/MISC,Traffic,DUI ADULT/MISC</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-28 01:47:00
210000887,"03/28/2021, 3:00:00 am","03/30/2021, 1:06:15 am",PALO ALTO,CA,94301,400 Block LYTTON AV,RMS: VANDALISM/FELONY,Property Crime,VANDALISM/FELONY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-28 09:14:00
210000888,"03/28/2021, 4:45:00 am","03/30/2021, 1:06:16 am",PALO ALTO,CA,94303,3800 Block FABIAN WAY,RMS: MISSING ADULT/MISC,Other,MISSING ADULT/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-28 11:10:00
210000889,"03/28/2021, 5:45:00 pm","03/30/2021, 1:06:16 am",PALO ALTO,CA,94306,4200 Block ALMA ST,RMS: BURGLARY/AUTO,Theft from Vehicle,BURGLARY/AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-28 10:45:00
210000891,"03/28/2021, 2:30:00 am","03/30/2021, 1:06:17 am",PALO ALTO,CA,94306,3700 Block PARK BLVD,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-28 12:22:00
210000892,"03/28/2021, 9:28:00 pm","03/30/2021, 1:06:17 am",PALO ALTO,CA,94301,200 Block FOREST AV,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-28 14:28:00
