Description,Incident #,Location,Agency,Date
AUTO THEFT,GO 202170818,600 BLK 24TH ST,Bakersfield Police,4/15/2021 8:00
ASSAULT-SIMPLE,GO 202170706,1100 BLK UNION AV,Bakersfield Police,4/15/2021 5:30
THEFT,GO 202170706,1100 BLK UNION AV,Bakersfield Police,4/15/2021 5:30
THEFT,GO 202170689,1800 BLK 18TH ST,Bakersfield Police,4/15/2021 4:20
AUTO THEFT,GO 202170708,2200 BLK FOUNDRY PL,Bakersfield Police,4/15/2021 0:00
AUTO THEFT,GO 202170281,1300 BLK CHESTER AV,Bakersfield Police,4/14/2021 12:58
DRUG OFFENSE,GO 202170241,200 BLK BLK E 21ST ST,Bakersfield Police,4/14/2021 11:37
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202170025,400 BLK 9TH ST,Bakersfield Police,4/14/2021 2:03
THEFT-CATALYTIC CONVERTER,GO 202170394,800 BLK TRUXTUN AV,Bakersfield Police,4/14/2021 0:00
WEAPON-POSSESS MISD,GO 202169977,2500 BLK K ST,Bakersfield Police,4/13/2021 23:23
AGG ASSAULT-WEAPON,GO 202169977,2500 BLK K ST,Bakersfield Police,4/13/2021 23:23
DRUG-AMPHETAMINE-SALES,GO 202169909,1300 BLK CALIFORNIA AV,Bakersfield Police,4/13/2021 21:11
DRUG-AMPHETAMINE-POSSESSION,GO 202169842,2300 BLK ST / CHESTER AV,Bakersfield Police,4/13/2021 19:06
DRUG-COCAINE-POSSESSION,GO 202169196,1200 BLK 23RD ST,Bakersfield Police,4/12/2021 23:44
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202169196,1200 BLK 23RD ST,Bakersfield Police,4/12/2021 23:44
WEAPON-POSSESS MISD,GO 202169162,1800 BLK 18TH ST,Bakersfield Police,4/12/2021 22:29
AUTO THEFT,GO 202169072,1300 BLK 23RD ST,Bakersfield Police,4/12/2021 20:00
THEFT,GO 202168994,2900 BLK M ST,Bakersfield Police,4/12/2021 17:43
BURGLARY-FORCED-BUSINESS,GO 202169276,2100 BLK 18TH ST,Bakersfield Police,4/12/2021 17:00
DRUG-AMPHETAMINE-POSSESSION,GO 202168692,1700 BLK UNION AV,Bakersfield Police,4/12/2021 10:35
DRUG-AMPHETAMINE-POSSESSION,GO 202168652,800 BLK 8TH ST,Bakersfield Police,4/12/2021 9:44
DRUG-AMPHETAMINE-POSSESSION,GO 202168598,800 BLK CHESTER AV,Bakersfield Police,4/12/2021 8:37
ASSAULT-SIMPLE,GO 202168022,1100 BLK 19TH ST,Bakersfield Police,4/11/2021 10:30
ASSAULT-SIMPLE,GO 202168016,200 BLK 8TH ST,Bakersfield Police,4/11/2021 10:29
DRUG-HEROIN-POSSESSION,GO 202168001,300 BLK BLK 22ND ST,Bakersfield Police,4/11/2021 9:56
DRUG-PARAPHERNALIA POSSESSION,GO 202168001,300 BLK BLK 22ND ST,Bakersfield Police,4/11/2021 9:56
DRUG-AMPHETAMINE-UTI,GO 202167944,1100 BLK UNION AV,Bakersfield Police,4/11/2021 6:40
AUTO THEFT,GO 202167973,100 BLK 19TH ST,Bakersfield Police,4/10/2021 23:00
BURG-VEH (THEFT OF NON-PARTS),GO 202167835,1800 BLK M ST,Bakersfield Police,4/10/2021 22:50
WEAPON-CARRY CONCEALED-FELONY,GO 202167681,400 BLK L ST,Bakersfield Police,4/10/2021 20:58
THEFT-CATALYTIC CONVERTER,GO 202168610,600 BLK E 19TH ST,Bakersfield Police,4/10/2021 19:30
POSSIBLE ASSAULT,GO 202167365,800 BLK CHESTER AV,Bakersfield Police,4/10/2021 12:59
THEFT-CATALYTIC CONVERTER,GO 202167545,600 BLK EUREKA ST,Bakersfield Police,4/10/2021 11:10
VANDALISM-PRIVATE PROPERTY,GO 202167199,600 BLK TRUXTUN AV,Bakersfield Police,4/10/2021 4:30
BURG-VEH (THEFT OF NON-PARTS),GO 2021802487,200 BLK EUREKA ST,Bakersfield Police,4/9/2021 17:00
DRUG-AMPHETAMINE-POSSESSION,GO 202166702,E ST / 21ST ST,Bakersfield Police,4/9/2021 12:40
DRUG-PARAPHERNALIA POSSESSION,GO 202166702,E ST / 21ST ST,Bakersfield Police,4/9/2021 12:40
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202166444,2300 BLK ST / H ST,Bakersfield Police,4/9/2021 2:46
ASSAULT-SIMPLE,GO 202166115,100 BLK 19TH ST,Bakersfield Police,4/8/2021 17:10
BURGLARY-FORCED-RESIDENCE,GO 202165927,2300 BLK 18TH ST,Bakersfield Police,4/8/2021 12:15
THEFT,GO 202165898,2200 BLK 19TH ST,Bakersfield Police,4/8/2021 11:47
THEFT-CATALYTIC CONVERTER,GO 202166172,1400 BLK S ST,Bakersfield Police,4/8/2021 7:30
AUTO THEFT,GO 202166059,300 BLK 20TH ST,Bakersfield Police,4/8/2021 6:50
BURGLARY-FORCED-BUSINESS,GO 202165679,2000 BLK R ST,Bakersfield Police,4/8/2021 3:31
ROBBERY-CARJACKING-ARMED,GO 202165682,400 BLK CHICO ST,Bakersfield Police,4/8/2021 3:30
AUTO THEFT,GO 202165753,1000 BLK M ST,Bakersfield Police,4/8/2021 2:00
ASSAULT-SIMPLE,GO 202165391,2100 BLK CHESTER AV,Bakersfield Police,4/7/2021 14:30
ASSAULT-SIMPLE,GO 202165316,2200 BLK 22ND ST,Bakersfield Police,4/7/2021 14:30
FRAUD,GO 2021802433,1100 BLK OLEANDER AV,Bakersfield Police,4/7/2021 10:31
ASSAULT-SIMPLE,GO 202165085,2500 BLK K ST,Bakersfield Police,4/7/2021 9:38
AGG ASSAULT-WEAPON,GO 202165085,2500 BLK K ST,Bakersfield Police,4/7/2021 9:38
FRAUD-BY WIRE,GO 2021802517,1400 BLK 19TH ST,Bakersfield Police,4/7/2021 8:07
THEFT-CATALYTIC CONVERTER,GO 202166156,1900 BLK 19TH ST,Bakersfield Police,4/7/2021 8:05
DRUG-PARAPHERNALIA POSSESSION,GO 202164999,500 BLK DOLORES ST,Bakersfield Police,4/7/2021 7:49
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202164889,CALIFORNIA AV / N ST,Bakersfield Police,4/6/2021 22:39
VANDALISM-PRIVATE PROPERTY,GO 202164872,1300 BLK EYE ST,Bakersfield Police,4/6/2021 22:04
AUTO THEFT,GO 202164926,700 BLK K ST,Bakersfield Police,4/6/2021 19:00
THEFT-BICYCLE,GO 202164770,1200 BLK TRUXTUN AV,Bakersfield Police,4/6/2021 18:54
WEAPON-POSSESS WEAPON FELONY,GO 202164621,2900 BLK UNION AV,Bakersfield Police,4/6/2021 14:27
POSSIBLE ASSAULT,GO 202164593,1200 BLK UNION AV,Bakersfield Police,4/6/2021 14:15
THEFT-FROM UNLOCKED VEHICLE,GO 202164510,1900 BLK 17TH ST,Bakersfield Police,4/6/2021 10:00
THEFT-BICYCLE,GO 202164423,1400 BLK TRUXTUN AV,Bakersfield Police,4/6/2021 9:44
ASSAULT-SIMPLE,GO 202164351,1600 BLK 18TH ST,Bakersfield Police,4/6/2021 8:15
THEFT-FROM YARD,GO 202164290,1300 BLK 32ND ST,Bakersfield Police,4/5/2021 16:30
BURGLARY-FORCED-NON-RESIDENCE,GO 202164290,1300 BLK 32ND ST,Bakersfield Police,4/5/2021 16:30
AGG ASSAULT-WEAPON,GO 202163976,900 BLK 4TH ST,Bakersfield Police,4/5/2021 15:43
AUTO THEFT,GO 202163969,1100 BLK UNION AV,Bakersfield Police,4/5/2021 14:18
BURG-VEH (NO LOSS/ATT THEFT),GO 202163969,1100 BLK UNION AV,Bakersfield Police,4/5/2021 14:18
AGG ASSAULT-FAMILY ID WEAPON,GO 202165099,2600 BLK L ST,Bakersfield Police,4/5/2021 12:00
DRUG-PARAPHERNALIA POSSESSION,GO 202163755,600 BLK N ST,Bakersfield Police,4/5/2021 10:37
THEFT,GO 202163725,100 BLK E CALIFORNIA AV,Bakersfield Police,4/5/2021 9:45
