Description,Incident #,Location,Agency,Date,street_address,city,state,lat,long
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103217,12200 BLOCK CENTRAL AVE,Chino Police,4/12/2021 12:54,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
BURGLARY /FELONY,2103176,14600 BLOCK YORBA CT,Chino Police,4/10/2021 22:29,14650 YORBA CT,Chino,CA,33.98763,-117.702126
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103168,4700 BLOCK RIVERSIDE DR,Chino Police,4/10/2021 17:55,4750 RIVERSIDE DR,Chino,CA,34.01902,-117.70144
BURGLARY,2103060,13100 BLOCK CENTRAL AVE,Chino Police,4/9/2021 3:02,13150 CENTRAL AVE,Chino,CA,34.01459,-117.68928
BURGLARY,2103029,13100 BLOCK 9TH ST,Chino Police,4/7/2021 16:00,13150 9TH ST,Chino,CA,34.014595,-117.687996
"GRAND THEFT, BOAT (OVER $950)",210970029,4000 BLOCK GRAND FIR LN,San Bernardino County Sheriff,4/7/2021 10:50,4050 GRAND FIR LN,Chino,CA,,
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2102986,5400 BLOCK PHILADELPHIA ST,Chino Police,4/6/2021 18:42,5450 PHILADELPHIA ST,Chino,CA,34.033627,-117.68436
FALSE IMPRISONMENT,2102965,6300 BLOCK EISENHOWER CT,Chino Police,4/6/2021 8:33,6350 EISENHOWER CT,Chino,CA,34.025986,-117.666885
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2102957,14500 BLOCK RAMONA AVE,Chino Police,4/5/2021 19:41,14550 RAMONA AVE,Chino,CA,33.98903,-117.70638
"ADW HANDS, FEET, FIST, ETC",210930088,4100 BLOCK GRAND FIR LN,San Bernardino County Sheriff,4/3/2021 22:32,4150 GRAND FIR LN,Chino,CA,,
BURGLARY,2102891,12900 BLOCK RAMONA AVE,Chino Police,4/2/2021 23:00,12950 RAMONA AVE,Chino,CA,34.017906,-117.70674
BURGLARY,2102832,12900 BLOCK CENTRAL AVE,Chino Police,4/2/2021 6:18,12950 CENTRAL AVE,Chino,CA,34.018192,-117.689316
PARAPHERNALIA - POSSESS UNLAWFUL,2102790,13600 BLOCK CENTRAL AVE,Chino Police,3/31/2021 21:57,13650 CENTRAL AVE,Chino,CA,34.00604,-117.689186
POSSESS CONTROLLED SUBSTANCE,2102786,13100 BLOCK 11TH ST,Chino Police,3/31/2021 20:12,13150 11TH ST,Chino,CA,34.01462,-117.68548
PARAPHERNALIA - POSSESS UNLAWFUL,2102781,5600 BLOCK D ST,Chino Police,3/31/2021 17:51,5650 D ST,Chino,CA,34.013756,-117.68154
ACQUIRE ACCESS CARD W/OUT CONSENT W/INTENT TO SELL/ETC,2102778,12900 BLOCK 4TH ST,Chino Police,3/31/2021 15:01,12950 4TH ST,Chino,CA,34.018166,-117.694374
PARAPHERNALIA - POSSESS UNLAWFUL,2102774,MONTE VISTA AVE/FRANCIS AVE,Chino Police,3/31/2021 12:43,MONTE VISTA AVE & FRANCIS AVE,Chino,CA,34.0314672,-117.062342
GRAND THEFT,2102770,12100 BLOCK RAMONA AVE,Chino Police,3/31/2021 11:14,12150 RAMONA AVE,Chino,CA,34.032616,-117.70688
PARAPHERNALIA - POSSESS UNLAWFUL,2102761,12200 BLOCK CENTRAL AVE,Chino Police,3/31/2021 7:28,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
POSSESS CONTROLLED SUBSTANCE,2102758,12900 BLOCK BENSON AVE,Chino Police,3/31/2021 1:51,12950 BENSON AVE,Chino,CA,34.01825,-117.68059
BATTERY,2102753,14500 BLOCK RAMONA AVE,Chino Police,3/30/2021 20:26,14550 RAMONA AVE,Chino,CA,33.98903,-117.70638
PARAPHERNALIA - POSSESS UNLAWFUL,2102746,12200 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:12,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
VANDALISM:DEFACE PROPERTY,2102764,12900 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:00,12950 CENTRAL AVE,Chino,CA,34.018192,-117.689316
PARAPHERNALIA - POSSESS UNLAWFUL,2102733,12200 BLOCK MOUNTAIN AVE,Chino Police,3/30/2021 14:07,12250 MOUNTAIN AVE,Chino,CA,34.031487,-117.66767
PETTY THEFT - MAIL OR PACKAGE,2102767,6500 BLOCK GRANT CT,Chino Police,3/30/2021 14:00,6550 GRANT CT,Chino,CA,34.02458,-117.66097
PARAPHERNALIA - POSSESS UNLAWFUL,2102718,12200 BLOCK CENTRAL AVE,Chino Police,3/30/2021 0:28,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
PARAPHERNALIA - POSSESS UNLAWFUL,2102716,11300 BLOCK MONTE VISTA AVE,Chino Police,3/29/2021 23:36,11350 MONTE VISTA AVE,Chino,CA,34.0477961,-117.7005443
POSSESS CONTROLLED SUBSTANCE,2102715,12800 BLOCK CENTRAL AVE,Chino Police,3/29/2021 23:20,12850 CENTRAL AVE,Chino,CA,34.01996,-117.68933
PETTY THEFT - OTHER,2102747,12800 BLOCK MOUNTAIN AVE,Chino Police,3/29/2021 20:30,12850 MOUNTAIN AVE,Chino,CA,34.02012,-117.66756
PARAPHERNALIA - POSSESS UNLAWFUL,2102710,12200 BLOCK RAMONA AVE,Chino Police,3/29/2021 19:32,12250 RAMONA AVE,Chino,CA,34.031418,-117.70686
PETTY THEFT - MAIL OR PACKAGE,2102695,4500 BLOCK CARTER CT,Chino Police,3/29/2021 5:00,4550 CARTER CT,Chino,CA,34.005783,-117.70581
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102734,4900 BLOCK FRANCIS AVE,Chino Police,3/29/2021 3:30,4950 FRANCIS AVE,Chino,CA,34.04079,-117.696976
CANCELLED REPORT NUMBER,2103004,13800 BLOCK CENTRAL AVE,Chino Police,3/29/2021 0:00,13850 CENTRAL AVE,Chino,CA,34.001427,-117.68911
PARAPHERNALIA - POSSESS UNLAWFUL,2102679,12200 BLOCK CENTRAL AVE,Chino Police,3/28/2021 22:25,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102678,6000 BLOCK NOTRE DAME AVE,Chino Police,3/28/2021 21:54,6050 NOTRE DAME AVE,Chino,CA,33.994812,-117.67432
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102677,5900 BLOCK NOTRE DAME AVE,Chino Police,3/28/2021 20:19,5950 NOTRE DAME AVE,Chino,CA,33.995605,-117.67506
BATTERY WITH SERIOUS BODILY INJURY,2102676,4600 BLOCK EDISON AVE,Chino Police,3/28/2021 19:43,4650 EDISON AVE,Chino,CA,33.99725,-117.70332
PARAPHERNALIA - POSSESS UNLAWFUL,2102672,5700 BLOCK RIVERSIDE DR,Chino Police,3/28/2021 19:10,5750 RIVERSIDE DR,Chino,CA,34.019146,-117.67933
BURGLARY - FROM MOTOR VEHICLE,2102684,5900 BLOCK YORKSHIRE RD,Chino Police,3/28/2021 18:00,5950 YORKSHIRE RD,Chino,CA,34.007076,-117.67479
