Description,Incident #,Location,Agency,Date
OVERDOSE NARCOTICS,211080076,4700 BLOCK BIRD FARM RD,Chino Hills Police,4/18/2021 14:51
BURGLARY,2103399,5800 BLOCK SCHAEFER AVE,Chino Police,4/18/2021 9:00
GRAND THEFT: AUTO,2103311,4400 BLOCK CHINO HILLS PKWY,Chino Police,4/14/2021 22:30
DRUNK IN PUBLIC,211040061,FAIRFIELD RANCH RD / CENTRAL AVE,Chino Hills Police,4/14/2021 11:47
BURGLARY,2103176,14600 BLOCK YORBA CT,Chino Police,4/10/2021 22:29
BURGLARY,2103060,13100 BLOCK CENTRAL AVE,Chino Police,4/9/2021 3:02
UNDER THE INFLUENCE,210980065,4700 BLOCK CHINO HILLS PKWY,Chino Hills Police,4/8/2021 14:09
AUTO BURGLARY,210980015,4400 BLOCK VILLAGE DR,Chino Hills Police,4/8/2021 5:21
BURGLARY,2103229,4400 BLOCK DAHLIA RD,Chino Police,4/7/2021 19:30
BURGLARY,2103029,13100 BLOCK 9TH ST,Chino Police,4/7/2021 16:00
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2102957,14500 BLOCK RAMONA AVE,Chino Police,4/5/2021 19:41
ALCOHOL SALES TO MINOR,210920065,15400 BLOCK FAIRFIELD RANCH RD,Chino Hills Police,4/2/2021 18:00
BURGLARY,2102937,14800 BLOCK CENTRAL AVE,Chino Police,4/2/2021 17:30
BURGLARY,2102832,12900 BLOCK CENTRAL AVE,Chino Police,4/2/2021 6:18
"ASSAULT-SIMPLE, HANDS, FIST, FEET",210910042,4700 BLOCK CHINO HILLS PKWY,Chino Hills Police,4/1/2021 10:20
PARAPHERNALIA - POSSESS UNLAWFUL,2102790,13600 BLOCK CENTRAL AVE,Chino Police,3/31/2021 21:57
POSSESS CONTROLLED SUBSTANCE,2102786,13100 BLOCK 11TH ST,Chino Police,3/31/2021 20:12
PARAPHERNALIA - POSSESS UNLAWFUL,2102781,5600 BLOCK D ST,Chino Police,3/31/2021 17:51
ACQUIRE ACCESS CARD W/OUT CONSENT W/INTENT TO SELL/ETC,2102778,12900 BLOCK 4TH ST,Chino Police,3/31/2021 15:01
POSSESS CONTROLLED SUBSTANCE,2102758,12900 BLOCK BENSON AVE,Chino Police,3/31/2021 1:51
BATTERY,2102753,14500 BLOCK RAMONA AVE,Chino Police,3/30/2021 20:26
VANDALISM:DEFACE PROPERTY,2102764,12900 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:00
GRAND THEFT,2102731,14800 BLOCK CENTRAL AVE,Chino Police,3/30/2021 12:00
SHOPLIFTING,2102726,6900 BLOCK SCHAEFER AVE,Chino Police,3/30/2021 9:24
POSSESS CONTROLLED SUBSTANCE,2102715,12800 BLOCK CENTRAL AVE,Chino Police,3/29/2021 23:20
PETTY THEFT - OTHER,2102747,12800 BLOCK MOUNTAIN AVE,Chino Police,3/29/2021 20:30
PETTY THEFT - MAIL OR PACKAGE,2102695,4500 BLOCK CARTER CT,Chino Police,3/29/2021 5:00
CANCELLED REPORT NUMBER,2103004,13800 BLOCK CENTRAL AVE,Chino Police,3/29/2021 0:00
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102678,6000 BLOCK NOTRE DAME AVE,Chino Police,3/28/2021 21:54
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102677,5900 BLOCK NOTRE DAME AVE,Chino Police,3/28/2021 20:19
BATTERY WITH SERIOUS BODILY INJURY,2102676,4600 BLOCK EDISON AVE,Chino Police,3/28/2021 19:43
PARAPHERNALIA - POSSESS UNLAWFUL,2102672,5700 BLOCK RIVERSIDE DR,Chino Police,3/28/2021 19:10
BURGLARY - FROM MOTOR VEHICLE,2102684,5900 BLOCK YORKSHIRE RD,Chino Police,3/28/2021 18:00
BURGLARY - COMMERCIAL - FORCED ENTRY,2102652,5400 BLOCK G ST,Chino Police,3/28/2021 5:21
BURGLARY - COMMERCIAL - NO FORCED ENTRY (NOT SHOPLIFT),2102647,13800 BLOCK MAGNOLIA AVE,Chino Police,3/27/2021 23:20
VANDALISM:DAMAGE PROPERTY,2102696,13800 BLOCK MAGNOLIA AVE,Chino Police,3/27/2021 23:00
BURGLARY - FROM MOTOR VEHICLE,2102686,4500 BLOCK EUCALYPTUS AVE,Chino Police,3/27/2021 16:00
VANDALISM:DEFACE PROPERTY,2102624,13200 BLOCK 9TH ST,Chino Police,3/27/2021 2:11
POSSESS CONTROLLED SUBSTANCE,2102616,5300 BLOCK G ST,Chino Police,3/26/2021 21:10
BATTERY,2102615,6300 BLOCK SOUTHWESTERN ST,Chino Police,3/26/2021 20:25
BURGLARY - FROM MOTOR VEHICLE,2102627,13900 BLOCK SAN ANTONIO AVE,Chino Police,3/26/2021 17:00
GRAND THEFT - OTHER,2102724,5500 BLOCK SCHAEFER AVE,Chino Police,3/26/2021 13:15
"FRAUD, IDENTITY THEFT",210850032,4700 BLOCK BIRD FARM RD,Chino Hills Police,3/26/2021 10:50
SELL/FURNISH/ETC MARIJUANA/HASHISH,2102592,14300 BLOCK CENTRAL AVE,Chino Police,3/26/2021 0:31
ROBBERY - OTHER DANGEROUS WEAPON,2102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 19:43
ROBBERY - OTHER DANGEROUS WEAPON,2102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 19:43
ROBBERY - OTHER DANGEROUS WEAPON,7102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 19:43
GRAND THEFT,2102581,5900 BLOCK SYCAMORE CT,Chino Police,3/25/2021 14:41
ROBBERY - OTHER DANGEROUS WEAPON,2102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 0:00
