ccn,date,incident_date,incident_month,incident_day_of_week,incident_time,incident_hour,incident_ampm,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative,blurred_address,lat,long
210000411,"01/31/2021, 5:56:00 am",1/31/2021,January,Sunday,5:56:00 AM,5:00 AM,am,"02/12/2021, 3:17:27 am",PORTOLA VALLEY,CA,94062,19500 Block SKYLINE BLVD,RMS: OUTSIDE INVESTIGATION/MISC,Proactive Policing,OUTSIDE INVESTIGATION/MISC</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-01-30 22:56:00,19550 SKYLINE BLVD,37.334133,-122.21586
210000077,"01/08/2021, 1:22:00 am",1/8/2021,January,Friday,1:22:00 AM,1:00 AM,am,"01/12/2021, 5:20:00 am",PALO ALTO,CA,94304,2900 Block ALEXIS DR,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-01-07 18:22:00,2950 ALEXIS DR,37.377613,-122.17014
210000329,"02/01/2021, 4:15:00 pm",2/1/2021,February,Monday,4:15:00 PM,4:00 PM,pm,"02/11/2021, 4:28:27 am",PALO ALTO,CA,94304,3400 Block DEER CREEK RD,RMS: VEHICLE/RECOVERED,Vehicle Recovery,VEHICLE/RECOVERED</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-02-01 09:15:00,3450 DEER CREEK RD,37.39656,-122.15538
210000684,"03/09/2021, 6:37:00 pm",3/9/2021,March,Tuesday,6:37:00 PM,6:00 PM,pm,"03/16/2021, 1:17:19 am",PALO ALTO,CA,94304,3400 Block HILLVIEW AV,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 11:57:00,3450 HILLVIEW AV,37.398457,-122.144295
210000471,"02/19/2021, 7:53:00 pm",2/19/2021,February,Friday,7:53:00 PM,7:00 PM,pm,"02/24/2021, 3:40:35 am",PALO ALTO,CA,94304,3400 Block HILLVIEW AV,RMS: PENAL CODE/MISC,Other,PENAL CODE/MISC</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-02-19 12:53:00,3450 HILLVIEW AV,37.398457,-122.144295
210000766,"03/03/2021, 7:00:00 am",3/3/2021,March,Wednesday,7:00:00 AM,7:00 AM,am,"03/23/2021, 1:27:19 am",PALO ALTO,CA,94306,700 Block ARASTRADERO RD,RMS: SEX CRIME/MISC,Sexual Offense,SEX CRIME/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-17 11:45:00,750 ARASTRADERO RD,37.40011,-122.13135
218000133,"02/22/2021, 6:00:00 pm",2/22/2021,February,Monday,6:00:00 PM,6:00 PM,pm,"03/03/2021, 3:37:36 am",PALO ALTO,CA,94306,4200 Block POMONA AV,RMS: THEFT PETTY/MISC,Theft,THEFT PETTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-23 12:18:00,4250 POMONA AV,37.403904,-122.12554
210000841,"03/23/2021, 10:30:00 pm",3/23/2021,March,Tuesday,10:30:00 PM,1:00 PM,pm,"03/25/2021, 1:14:39 am",PALO ALTO,CA,94304,MIRANDA AV & HILLVIEW AV,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-23 15:30:00,MIRANDA AV & HILLVIEW AV,37.40461,-122.14596
218000043,"01/15/2021, 10:00:00 pm",1/15/2021,January,Friday,10:00:00 PM,1:00 PM,pm,"01/22/2021, 5:03:05 am",PALO ALTO,CA,94306,600 Block GEORGIA AV,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-01-15 19:29:00,650 GEORGIA AV,37.404873,-122.13229
210000743,"03/15/2021, 9:00:00 pm",3/15/2021,March,Monday,9:00:00 PM,9:00 PM,pm,"03/18/2021, 12:06:46 am",PALO ALTO,CA,94306,600 Block ARASTRADERO RD,RMS: MISSING JUVENILE/LOCATE,Other,MISSING JUVENILE/LOCATE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-15 14:00:00,650 ARASTRADERO RD,37.4051,-122.127014
210000245,"01/17/2021, 11:13:00 am",1/17/2021,January,Sunday,11:13:00 AM,1:00 AM,am,"01/27/2021, 4:11:32 am",PALO ALTO,CA,94306,400 Block CESANO CT,RMS: THEFT PETTY/MISC,Theft,THEFT PETTY/MISC</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-01-25 12:31:00,450 CESANO CT,37.405106,-122.1176
210000122,"01/11/2021, 11:24:00 pm",1/11/2021,January,Monday,11:24:00 PM,1:00 PM,pm,"01/14/2021, 5:25:06 am",PALO ALTO,CA,94306,400 Block CESANO CT,RMS: IDENTITY THEFT/MISC.,Proactive Policing,IDENTITY THEFT/MISC.</br><b>Disposition: </b>REPORT MADE<br /><b>Report Date: </b>2021-01-12 10:12:00,450 CESANO CT,37.405106,-122.1176
210000677,"03/06/2021, 1:00:00 am",3/6/2021,March,Saturday,1:00:00 AM,1:00 AM,am,"03/10/2021, 1:20:07 am",PALO ALTO,CA,94304,3300 Block HILLVIEW AV,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 17:00:00,3350 HILLVIEW AV,37.405193,-122.145775
