Description,Incident #,Location,Agency,Date,,
AUTO THEFT,211070874,GLEN HANLEIGH DR / GLEN HARDY CT,San Jose Police,4/17/2021 23:51,,
GRAND THEFT,211073210,2000 BLK LUCRETIA AV,San Jose Police,4/17/2021 23:19,,
AUTO THEFT,211070856,W VIRGINIA ST/S 1ST ST,San Jose Police,4/17/2021 21:49,,
AGG ASSAULT,211070694,KEYES ST / S 11TH ST,San Jose Police,4/17/2021 19:42,,
PETTY THEFT,211073205,500 BLK S 2ND ST,San Jose Police,4/17/2021 19:16,,
ASSAULT,211079504,2000 BLK MONTEREY RD,San Jose Police,4/17/2021 18:23,,
GRAND THEFT,211073203,2600 BLK SHERLOCK DR,San Jose Police,4/17/2021 18:05,,
ASSAULT,211070405,1100 BLK S 2ND ST,San Jose Police,4/17/2021 14:10,,
AUTO THEFT,211070305,RUBY AV / ABORN RD,San Jose Police,4/17/2021 12:02,,
ASSAULT,211070240,2700 BLK OPHELIA AV,San Jose Police,4/17/2021 10:30,,
ASSAULT,211070229,1500 BLK MOFFO CT,San Jose Police,4/17/2021 9:36,,
AUTO THEFT,211070225,4000 BLK LAKE RIDGE LN,San Jose Police,4/17/2021 9:25,,
GRAND THEFT,211073202,900 BLK S 8TH ST,San Jose Police,4/17/2021 8:38,,
LICENSE PLATE,211070194,2300 BLK WARFIELD WY,San Jose Police,4/17/2021 8:18,,
GRAND THEFT,211070193,1000 BLK S 6TH ST,San Jose Police,4/17/2021 8:16,,
BURGLARY,211070172,1900 BLK TULLY RD,San Jose Police,4/17/2021 7:13,,
AUTO THEFT,211070111,2700 BLK DUBLIN DR,San Jose Police,4/17/2021 3:50,,
AUTO THEFT,211070067,400 BLK S 11TH ST,San Jose Police,4/17/2021 1:45,,
AGG ASSAULT,211070021,1000 BLK S 1ST ST,San Jose Police,4/17/2021 0:26,,
NARCOTICS,211060803,2500 BLK S KING RD,San Jose Police,4/17/2021 0:02,,
DUI,211061003,S JACKSON AV / E SAN ANTONIO ST,San Jose Police,4/16/2021 22:56,,
ROBBERY,211060852,1100 BLK STORY RD,San Jose Police,4/16/2021 20:08,,
ASSAULT,211060813,2600 BLK BRAHMS AV,San Jose Police,4/16/2021 19:26,,
GRAND THEFT,211060810,2100 BLK TULLY RD,San Jose Police,4/16/2021 19:18,,
GRAND THEFT,211060810,2100 BLK TULLY RD,San Jose Police,4/16/2021 19:18,,
PETTY THEFT,211063204,1000 BLK S 3RD ST,San Jose Police,4/16/2021 17:56,,
ARSON,211060696,1200 BLK STORY RD,San Jose Police,4/16/2021 17:40,,
NARCOTICS,211060663,NICKEL AV / S KING RD,San Jose Police,4/16/2021 17:16,,
AGG ASSAULT,211060705,1400 BLK TAMI LEE DR,San Jose Police,4/16/2021 17:15,,
NARCOTICS,211060622,OCALA AV / E CAPITOL EXPY,San Jose Police,4/16/2021 16:47,,
VANDALISM,211060312,1600 BLK S CAPITOL AV,San Jose Police,4/16/2021 16:46,,
DISTURB PEACE,211069509,2400 BLK SENTER RD,San Jose Police,4/16/2021 16:41,,
PETTY THEFT,211060424,1300 BLK E SAN ANTONIO ST,San Jose Police,4/16/2021 16:10,,
FORGERY/FRAUD,211069508,800 BLK MACREDES AV,San Jose Police,4/16/2021 14:49,,
FORGERY/FRAUD,211069506,100 BLK S 26TH ST,San Jose Police,4/16/2021 14:28,,
NARCOTICS,211060432,1100 BLK OWSLEY AV,San Jose Police,4/16/2021 13:15,,
BURGLARY,211060255,1200 BLK STORY RD,San Jose Police,4/16/2021 9:54,,
