Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
AGG ASSAULT,211040847,600 BLK BALFOUR DR,San Jose Police,4/14/2021 20:43,4/14/2021,April,Wednesday,20:43,PM,650 BALFOUR DR,San Jose,CA,37.300797,-121.8391
AUTO THEFT,SJ202132,2600 BLK SENTER RD,San Jose Police,4/6/2021 13:04,4/6/2021,April,Tuesday,13:04,PM,2650 SENTER RD,San Jose,CA,37.301296,-121.84122
AUTO THEFT,210960406,2600 BLK SENTER RD,San Jose Police,4/6/2021 11:52,4/6/2021,April,Tuesday,11:52,AM,2650 SENTER RD,San Jose,CA,37.301296,-121.84122
AGG ASSAULT,210940711,2600 BLK SENTER RD,San Jose Police,4/4/2021 21:37,4/4/2021,April,Sunday,21:37,PM,2650 SENTER RD,San Jose,CA,37.301296,-121.84122
ASSAULT,210911027,15 BLK OLD TULLY RD,San Jose Police,4/1/2021 21:51,4/1/2021,April,Thursday,21:51,PM,15 BLK OLD TULLY RD,San Jose,CA,37.30133,-121.857376
NARCOTICS,210820784,15 BLK OLD TULLY RD,San Jose Police,3/23/2021 18:55,3/23/2021,March,Tuesday,18:55,PM,15 BLK OLD TULLY RD,San Jose,CA,37.30133,-121.857376
FORGERY/FRAUD,211053210,500 BLK UMBARGER RD,San Jose Police,4/15/2021 13:10,4/15/2021,April,Thursday,13:10,PM,550 UMBARGER RD,San Jose,CA,37.301395,-121.842705
AGG ASSAULT,210950705,2300 BLK MONTEREY RD,San Jose Police,4/5/2021 20:00,4/5/2021,April,Monday,20:00,PM,2350 MONTEREY RD,San Jose,CA,37.3016,-121.859024
BURGLARY,211040220,2200 BLK MONTEREY RD,San Jose Police,4/14/2021 9:13,4/14/2021,April,Wednesday, 9:13,AM,2250 MONTEREY RD,San Jose,CA,37.302826,-121.86024
AGG ASSAULT,211000459,2600 BLK SENTER CREEK CT,San Jose Police,4/10/2021 14:12,4/10/2021,April,Saturday,14:12,PM,2650 SENTER CREEK CT,San Jose,CA,37.303524,-121.842064
AUTO THEFT,211040125,2600 BLK CORDE TERRA CL,San Jose Police,4/14/2021 6:41,4/14/2021,April,Wednesday, 6:41,AM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
AUTO THEFT,210970686,2600 BLK CORDE TERRA CL,San Jose Police,4/7/2021 16:08,4/7/2021,April,Wednesday,16:08,PM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
PETTY THEFT,210959506,2600 BLK CORDE TERRA CL,San Jose Police,4/5/2021 15:20,4/5/2021,April,Monday,15:20,PM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
AUTO THEFT,210899701,2600 BLK CORDE TERRA CL,San Jose Police,3/30/2021 8:25,3/30/2021,March,Tuesday, 8:25,AM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
NARCOTICS,211040349,400 BLK BALTIC WY,San Jose Police,4/14/2021 11:55,4/14/2021,April,Wednesday,11:55,AM,450 BALTIC WY,San Jose,CA,37.30413,-121.847115
PETTY THEFT,211033211,4000 BLK YERBA BUENA AV,San Jose Police,4/13/2021 9:12,4/13/2021,April,Tuesday, 9:12,AM,4050 YERBA BUENA AV,San Jose,CA,37.304768,-121.78216
ARSON,211040099,2500 BLK SENTER RD,San Jose Police,4/14/2021 5:10,4/14/2021,April,Wednesday, 5:10,AM,2550 SENTER RD,San Jose,CA,37.30478,-121.844574
WEAPONS,211010383,2100 BLK MONTEREY HY,San Jose Police,4/11/2021 10:54,4/11/2021,April,Sunday,10:54,AM,2150 MONTEREY HY,San Jose,CA,37.305046,-121.86245
