type,blurred_street,date,time_24hr_clock,time_12hr_clock,incident_date,incident_month,incident_day_of_week,time_ampm,case_no,agency,description,blurred_address,city,state,postalcode,lat,long
Theft from Vehicle,15700 BLOCK CLARENDON ST,3/29/2021,8:00,08:00 AM,3/29/2021,March,Monday,AM,21-02325,WESTMINSTER POLICE DEPARTMENT,THEFT FROM VEHICLE,15750 CLARENDON ST,Westminster,CA,92683,33.73373,-117.95861
Property Crime,15500 BLOCK BEACH BLVD,4/10/2021,10:00,10:00 AM,4/10/2021,April,Saturday,AM,21-02670,WESTMINSTER POLICE DEPARTMENT,"VANDALISM - DAMAGE, DEFACEMENT, ETC. EXCEEDS $400",15550 BEACH BLVD,Westminster,CA,92683,33.73739,-117.989296
Theft,8900 BLOCK MCFADDEN AVE,4/3/2021,20:00,08:00 PM,4/3/2021,April,Saturday,PM,21-02490,WESTMINSTER POLICE DEPARTMENT,GRAND THEFT (+950),8950 MCFADDEN AVE,Westminster,CA,92683,33.7376,-117.9731
Quality of Life,9300 BLOCK MCFADDEN AVE,4/9/2021,15:00,03:00 PM,4/9/2021,April,Friday,PM,21-02632,WESTMINSTER POLICE DEPARTMENT,TRESPASS: ENTERING OR OCCUPYING STRUCTURE W/OUT CONSENT OF OWNER,9350 MCFADDEN AVE,Westminster,CA,92683,33.737656,-117.96657
Assault,9300 BLOCK MCFADDEN AVE,3/24/2021,16:00,04:00 PM,3/24/2021,March,Wednesday,PM,21-02202,WESTMINSTER POLICE DEPARTMENT,ASSAULT & BATTERY,9350 MCFADDEN AVE,Westminster,CA,92683,33.737656,-117.96657
Theft,9400 BLOCK MCFADDEN AVE,3/25/2021,21:00,09:00 PM,3/25/2021,March,Thursday,PM,21-02258,WESTMINSTER POLICE DEPARTMENT,PETTY THEFT,9450 MCFADDEN AVE,Westminster,CA,92683,33.737663,-117.9626
Quality of Life,9300 BLOCK DOWNING CR,3/21/2021,18:00,06:00 PM,3/21/2021,March,Sunday,PM,21-02107,WESTMINSTER POLICE DEPARTMENT,DISORDERLY CONDUCT: ALCOHOL,9350 DOWNING CR,Westminster,CA,92683,33.738064,-117.96614
Theft of Vehicle,15100 BLOCK BROOKHURST ST,4/4/2021,15:00,03:00 PM,4/4/2021,April,Sunday,PM,21-02512,WESTMINSTER POLICE DEPARTMENT,TAKE VEHICLE W/O OWNERS CONSENT/VEHICLE THEFT,15150 BROOKHURST ST,Westminster,CA,92683,33.742325,-117.95473
Property Crime,15100 BLOCK BROOKHURST ST,3/31/2021,10:00,10:00 AM,3/31/2021,March,Wednesday,AM,21-02391,WESTMINSTER POLICE DEPARTMENT,"VANDALISM - DAMAGE, DEFACEMENT, ETC. EXCEEDS $400",15150 BROOKHURST ST,Westminster,CA,92683,33.742325,-117.95473
Theft,15100 BLOCK BUSHARD ST,4/9/2021,5:00,05:00 AM,4/9/2021,April,Friday,AM,21-02621,WESTMINSTER POLICE DEPARTMENT,PETTY THEFT,15150 BUSHARD ST,Westminster,CA,92683,33.74269,-117.963455
Property Crime,15100 BLOCK BUSHARD ST,4/14/2021,20:00,08:00 PM,4/14/2021,April,Wednesday,PM,21-02813,WESTMINSTER POLICE DEPARTMENT,"VANDALISM - DAMAGE, DEFACEMENT, ETC. IS LESS THAN $400",15150 BUSHARD ST,Westminster,CA,92683,33.74269,-117.963455
Quality of Life,9000 BLOCK BOLSA AVE,4/2/2021,1:00,01:00 AM,4/2/2021,April,Friday,AM,21-02443,WESTMINSTER POLICE DEPARTMENT,POSSESS CONTROLLED SUBSTANCE,9050 BOLSA AVE,Westminster,CA,92683,33.74477,-117.970245
Property Crime,9300 BLOCK BOLSA AVE,3/20/2021,10:00,10:00 AM,3/20/2021,March,Saturday,AM,21-02083,WESTMINSTER POLICE DEPARTMENT,"VANDALISM - DAMAGE, DEFACEMENT, ETC. EXCEEDS $400",9350 BOLSA AVE,Westminster,CA,92683,33.74481,-117.96683
Property Crime,9500 BLOCK BOLSA AVE,3/28/2021,14:00,02:00 PM,3/28/2021,March,Sunday,PM,21-02303,WESTMINSTER POLICE DEPARTMENT,"VANDALISM - DAMAGE, DEFACEMENT, ETC. EXCEEDS $400",9550 BOLSA AVE,Westminster,CA,92683,33.744846,-117.96288
Breaking & Entering,9500 BLOCK BOLSA AVE,3/26/2021,19:00,07:00 PM,3/26/2021,March,Friday,PM,21-02280,WESTMINSTER POLICE DEPARTMENT,BURGLARY,9550 BOLSA AVE,Westminster,CA,92683,33.744846,-117.96288
