Geo_FIPS,Geo_TRACT,occ_hu,hu_size1,hu_size2,hu_size3,hu_size4,hu_size5,hu_size6,hu_size7up,avg_hh_size
60750101001,10100,484,256,216,0,12,0,0,0,1.59
60750101002,10100,1544,678,508,218,114,0,26,0,2.02
60750102001,10200,862,366,387,64,24,21,0,0,1.84
60750102002,10200,1059,602,340,97,0,20,0,0,1.58
60750102003,10200,594,341,212,16,25,0,0,0,1.53
60750103001,10300,852,211,419,159,15,0,48,0,2.3
60750103002,10300,495,155,220,65,34,14,0,7,2.2
60750103003,10300,624,157,340,116,11,0,0,0,2.09
60750104001,10400,150,46,76,0,0,28,0,0,2.27
60750104002,10400,972,378,460,63,55,16,0,0,1.85
60750104003,10400,963,520,283,57,58,45,0,0,1.85
60750104004,10400,367,222,81,64,0,0,0,0,1.62
60750105001,10500,539,309,165,7,58,0,0,0,1.73
60750105002,10500,1183,762,288,94,39,0,0,0,1.56
60750106001,10600,634,232,315,67,10,10,0,0,1.85
60750106002,10600,586,295,208,51,17,9,0,6,1.8
60750106003,10600,597,301,149,73,58,1,15,0,2.02
60750107001,10700,315,76,184,15,27,13,0,0,2.23
60750107002,10700,688,322,127,151,82,0,0,6,2.12
60750107003,10700,643,178,249,142,74,0,0,0,2.39
60750107004,10700,894,271,377,215,31,0,0,0,2.07
60750108001,10800,638,210,191,155,16,0,44,22,2.63
60750108002,10800,852,418,206,125,103,0,0,0,1.94
60750108003,10800,962,386,474,67,35,0,0,0,1.77
60750109001,10900,415,202,156,49,8,0,0,0,1.73
60750109002,10900,1114,425,597,83,0,9,0,0,1.82
60750109003,10900,967,445,380,90,18,34,0,0,1.8
60750110001,11000,470,83,320,55,12,0,0,0,2.06
60750110002,11000,1133,549,409,128,0,0,47,0,1.88
60750110003,11000,1051,396,460,167,28,0,0,0,1.93
60750111001,11100,1155,682,398,75,0,0,0,0,1.52
60750111002,11100,1155,622,415,118,0,0,0,0,1.63
60750111003,11100,776,462,267,25,0,22,0,0,1.53
60750112001,11200,693,334,301,29,29,0,0,0,1.72
60750112002,11200,762,329,296,85,23,29,0,0,1.91
60750112003,11200,389,214,107,32,36,0,0,0,1.75
60750113001,11300,609,206,180,110,19,45,0,49,2.64
60750113002,11300,900,685,171,24,10,10,0,0,1.33
60750117001,11700,498,256,176,49,9,8,0,0,1.67
60750117002,11700,580,367,176,17,20,0,0,0,1.51
60750118001,11800,749,311,246,122,44,18,0,8,2.08
60750119011,11901,655,422,193,32,8,0,0,0,1.48
