Geo_FIPS,Geo_TRACT,Geo_BLKGRP,occ_hu,hu_size1,hu_size2,hu_size3,hu_size4,hu_size5,hu_size6,hu_size7up,avg_hh_size
60750255001,25500,1,508,14,184,95,180,0,18,17,3.46
60750255002,25500,2,327,40,130,18,85,12,0,42,3.58
60750255003,25500,3,365,62,34,20,75,130,0,44,4.66
60750255004,25500,4,315,23,95,80,92,0,25,0,3.3
60750255005,25500,5,484,43,242,52,17,67,33,30,3.52
60750255006,25500,6,723,144,243,92,160,57,0,27,3.06
60750260011,26001,1,770,55,186,201,184,80,64,0,3.47
60750260012,26001,2,897,137,191,185,176,107,22,79,3.69
60750260021,26002,1,321,53,83,26,61,70,7,21,3.67
60750260022,26002,2,688,128,248,149,100,6,29,28,3.03
60750260031,26003,1,694,84,147,133,131,39,0,160,4.23
60750260032,26003,2,708,147,209,119,135,51,24,23,3.08
60750260041,26004,1,666,69,302,74,132,57,0,32,3.15
60750260042,26004,2,629,67,219,89,40,86,73,55,4.04
60750261001,26100,1,410,124,85,42,93,32,17,17,3.31
60750261002,26100,2,714,97,221,43,221,77,18,37,3.5
60750261003,26100,3,450,68,73,125,27,118,15,24,4.54
60750261004,26100,4,441,57,91,70,153,55,15,0,3.51
60750263011,26301,1,295,49,69,67,23,21,66,0,3.71
60750263012,26301,2,830,106,227,117,144,97,70,69,3.68
60750263013,26301,3,253,66,57,43,32,6,26,23,3.6
