Geo_FIPS,Geo_TRACT,TPOP,NATIVE,FOREIGN,NATURALIZED,NOT_CITIZEN,THH,ENGLISH_ONLY,TSPANISH,SPANISH_LEP,SPANISH_NLEP,TINDOEURO,INDOEURO_LEP,INDOEURO_NLEP,TAPI,API_LEP,API_NLEP,TOTHER,OTHER_LEP,OTHER_NLEP
6075010100,10100,3889,2152,1737,1220,517,2028,996,121,0,121,229,95,134,670,420,250,12,0,12
6075010200,10200,4167,3362,805,437,368,2515,2227,44,0,44,158,66,92,86,0,86,0,0,0
6075010300,10300,4359,3406,953,636,317,1971,1331,167,28,139,111,0,111,346,176,170,16,0,16
6075010400,10400,4536,3466,1070,608,462,2452,1680,104,0,104,313,0,313,355,84,271,0,0,0
6075010500,10500,2779,1826,953,487,466,1722,1150,38,0,38,197,5,192,315,107,208,22,0,22
6075010600,10600,3429,1771,1658,1006,652,1817,896,62,24,38,119,0,119,740,408,332,0,0,0
6075010700,10700,5548,1568,3980,2308,1672,2540,553,75,31,44,122,16,106,1790,1440,350,0,0,0
6075010800,10800,5038,3498,1540,1171,369,2452,1567,66,0,66,114,0,114,670,332,338,35,0,35
6075010900,10900,4486,3436,1050,671,379,2496,1769,131,47,84,156,43,113,421,185,236,19,0,19
6075011000,11000,5127,3669,1458,939,519,2654,1517,139,0,139,235,0,235,763,333,430,0,0,0
6075011100,11100,4835,3174,1661,1101,560,3086,1923,215,0,215,77,0,77,843,484,359,28,15,13
6075011200,11200,3329,2352,977,554,423,1844,1266,68,15,53,176,9,167,325,177,148,9,0,9
6075011300,11300,2843,999,1844,1287,557,1509,420,12,0,12,44,33,11,1033,742,291,0,0,0
6075011700,11700,1790,769,1021,524,497,1078,483,128,35,93,113,11,102,308,221,87,46,10,36
6075011800,11800,1570,386,1184,632,552,749,136,16,0,16,26,0,26,560,405,155,11,0,11
6075011901,11901,2699,1973,726,241,485,1527,994,113,0,113,107,11,96,257,11,246,56,0,56
6075011902,11902,2712,1967,745,508,237,1661,1216,114,13,101,124,10,114,207,23,184,0,0,0
6075012000,12000,3973,2556,1417,826,591,2501,1501,207,55,152,300,102,198,455,232,223,38,14,24
6075012100,12100,3859,2608,1251,509,742,2176,1405,134,42,92,146,0,146,473,142,331,18,0,18
6075012201,12201,4620,2975,1645,478,1167,2615,1583,490,83,407,212,28,184,287,153,134,43,0,43
6075012202,12202,3181,2182,999,417,582,1616,972,173,22,151,167,38,129,256,131,125,48,14,34
6075012301,12301,2117,1048,1069,437,632,1295,661,223,98,125,125,70,55,270,188,82,16,3,13
6075012302,12302,2713,1701,1012,273,739,1971,1079,209,56,153,191,38,153,444,145,299,48,19,29
