year,GEOID10,statefp,state_place,tract,state,county,POP,NHWHITE,NHBLACK,NATIVE,ASIAN,HISPANIC,NONWHITE,NHWHITE_PR,NHBLACK_PR,NATIVE_PR,ASIAN_PR,HISPANIC_PR,OTHER_PR,entropy,divergence
2000-01-31,06075016500,06,0667000,Census Tract 165,CA,San Francisco County,5121,3312,712,38,662,352,1764,0.6467486818980668,0.13903534465924625,0.007420425698105838,0.12927162663542277,0.06873657488771724,0.008787346221441061,1.041067531340576,0.1521623339080228
2000-01-31,06075016300,06,0667000,Census Tract 163,CA,San Francisco County,4521,2239,1406,36,367,418,2227,0.49524441495244415,0.3109931431099314,0.007962840079628402,0.08117673081176731,0.09245742092457421,0.012165450121654486,1.1737162979704097,0.10464334008650125
2000-01-31,06075016100,06,0667000,Census Tract 161,CA,San Francisco County,5257,1313,2772,26,776,323,3897,0.2497622217995054,0.5272969374167776,0.0049457865702872365,0.14761270686703443,0.06144188700779912,0.008940460338596301,1.164014815385077,0.348723801424498
2000-01-31,06075015900,06,0667000,Census Tract 159,CA,San Francisco County,4165,1699,767,17,1297,318,2399,0.4079231692677071,0.18415366146458584,0.004081632653061225,0.3114045618247299,0.07635054021608643,0.01608643457382941,1.259524048920501,0.1980301275834297
2000-01-31,06075015700,06,0667000,Census Tract 157,CA,San Francisco County,6875,3823,551,36,1816,567,2970,0.5560727272727273,0.08014545454545455,0.005236363636363636,0.26414545454545457,0.08247272727272727,0.011927272727272786,1.1135550853206109,0.20926045131876864
2000-01-31,06075015600,06,0667000,Census Tract 156,CA,San Francisco County,2821,1544,108,13,967,164,1252,0.5473236440978376,0.03828429634881248,0.004608294930875576,0.3427862460120525,0.058135412974122655,0.0088621056362993,1.011980665897147,0.37000243909943403
2000-01-31,06075015500,06,0667000,Census Tract 155,CA,San Francisco County,3591,1594,647,16,1109,196,1968,0.44388749651907544,0.18017265385686437,0.004455583402951824,0.3088276246170983,0.05458089668615984,0.008075744917850347,1.2150151184490376,0.23258173148318909
2000-01-31,06075015400,06,0667000,Census Tract 154,CA,San Francisco County,5762,3731,318,26,1325,312,1981,0.647518222839292,0.055189170426935094,0.004512322110378341,0.22995487677889623,0.05414786532454009,0.008677542519958337,0.9615714510164793,0.27906295859208613
2000-01-31,06075015300,06,0667000,Census Tract 153,CA,San Francisco County,2114,1376,284,17,286,113,700,0.6508987701040682,0.13434247871333965,0.00804162724692526,0.13528855250709557,0.05345316934720908,0.01797540208136217,1.0151420076473907,0.1693632859933719
2000-01-31,06075015200,06,0667000,Census Tract 152,CA,San Francisco County,3857,2526,206,18,908,162,1294,0.6549131449312937,0.05340938553279751,0.00466683951257454,0.23541612652320457,0.04200155561317086,0.009592947886958858,0.9323720764099721,0.3075861699115276
2000-01-31,06075013500,06,0667000,Census Tract 135,CA,San Francisco County,2666,2120,56,16,340,110,522,0.795198799699925,0.021005251312828207,0.006001500375093774,0.1275318829707427,0.04126031507876969,0.009002250562640701,0.6882449313720329,0.3864673710724519
2000-01-31,06075013400,06,0667000,Census Tract 134,CA,San Francisco County,3665,3006,113,14,377,140,644,0.8201909959072305,0.030832196452933152,0.003819918144611187,0.10286493860845838,0.03819918144611187,0.004092769440654953,0.6497831615137235,0.39165125710510434
2000-01-31,06075013200,06,0667000,Census Tract 132,CA,San Francisco County,4436,3772,58,19,434,135,646,0.8503155996393147,0.013074842200180343,0.004283137962128043,0.09783588818755636,0.03043282236248873,0.004057709648331853,0.5516339218213144,0.4668099502661716
2000-01-31,06075013000,06,0667000,Census Tract 130,CA,San Francisco County,4130,3450,28,14,444,157,643,0.8353510895883777,0.006779661016949152,0.003389830508474576,0.10750605326876514,0.03801452784503632,0.008958837772397144,0.567476936553844,0.4547621073671378
2000-01-31,06075012800,06,0667000,Census Tract 128,CA,San Francisco County,4207.284009,3551.551514,20.99143791,17.99266052,425.8263245,153.9372101,618.74763303,0.8441435154847423,0.004989308509978462,0.004276550021703087,0.10121168991422846,0.03658826211178177,0.008790673957565831,0.5456626048898959,0.47019466281766314
2000-01-31,06075012700,06,0667000,Census Tract 127,CA,San Francisco County,3498.715898,2954.448465,14.00856115,16.00733813,374.173669,123.0627817,527.25234998,0.844437945558505,0.0040039150243687495,0.004575203759513714,0.10694599959199089,0.035173699519400074,0.004863236546221561,0.5463444734130131,0.48042145574969874
2000-01-31,06075012000,06,0667000,Census Tract 120,CA,San Francisco County,3972,2044,162,54,1171,475,1862,0.5146022155085599,0.04078549848942598,0.013595166163141994,0.2948136958710977,0.11958710976837865,0.016616314199395688,1.144861809234091,0.24352162308074346
2000-01-31,06075011800,06,0667000,Census Tract 118,CA,San Francisco County,1528,130,12,3,1370,10,1395,0.08507853403141362,0.007853403141361256,0.001963350785340314,0.8965968586387435,0.006544502617801047,0.0019633507853402676,0.3907263330457199,1.6803363891260994
